Campaign,TIC,ampl_rec,cstart,cstop,ed_rec,ed_rec_err,istart,istop,total_n_valid_data_points,tstart,tstop
3,29928567,0.028087496757507324,116792.0,116804.0,12.56602617692582,0.13393024353628413,2642.0,2654.0,,1389.6716633194349,1389.6883302125207
3,29928567,0.02016592025756836,117391.0,117394.0,3.5831887938793567,0.07471686397771317,3216.0,3219.0,,1390.503618541245,1390.5077852590439
3,29928567,0.007061481475830078,118211.0,118214.0,1.3882118908967875,0.08020771638000976,4030.0,4033.0,,1391.6425205155454,1391.6466872268259
3,29928567,0.003132343292236328,119023.0,119026.0,1.029892087162848,0.09246901749822,4799.0,4802.0,,1392.7703095276684,1392.7744762333616
3,29928567,0.07465755939483643,119177.0,119186.0,19.30336868498909,0.10486120453619184,4953.0,4962.0,,1392.9842003785998,1392.996700491953
3,29928567,0.002997756004333496,119581.0,119588.0,2.062071345658285,0.14221037719103832,5356.0,5363.0,,1393.5453164293313,1393.5550387348533
3,29928567,0.01598203182220459,119675.0,119679.0,3.2883591919563564,0.08272358568853319,5448.0,5452.0,,1393.6758730984252,1393.6814287015134
3,29928567,0.003670215606689453,119917.0,119922.0,1.6468757650923482,0.1289353064943564,5687.0,5691.0,,1394.0119870333756,1394.0189315357236
3,29928567,0.003319501876831055,120381.0,120385.0,1.3748905316025457,0.117472715263504,6148.0,6152.0,,1394.65643684406,1394.6619924466834
3,29928567,0.003953456878662109,120581.0,120585.0,1.5444937887990289,0.1146280443286375,6336.0,6340.0,,1394.9342169989663,1394.939772602987
3,29928567,0.04309344291687012,120802.0,120806.0,7.335744612624705,0.07939492722380265,6549.0,6553.0,,1395.241164193838,1395.2467198006527
3,29928567,0.009867310523986816,121938.0,121945.0,4.2415729641608575,0.1282601399440799,6808.0,6815.0,,1396.818957536278,1396.8286798385407
3,29928567,0.014440655708312988,122266.0,122273.0,7.17124253417904,0.12666343170543626,7134.0,7141.0,,1397.2745164200626,1397.2842387041644
3,29928567,0.002330899238586425,122373.0,122376.0,0.7863997117010939,0.09334555398350966,7240.0,7243.0,,1397.4231284391249,1397.4272951303824
3,29928567,0.009341120719909668,122537.0,122540.0,2.328612480373049,0.08407206809928656,7404.0,7407.0,,1397.6509074533096,1397.655074140841
3,29928567,0.003260970115661621,122933.0,122936.0,0.9786018713701649,0.09182979697931827,7796.0,7799.0,,1398.2009097348775,1398.205076415425
3,29928567,0.01610434055328369,123094.0,123099.0,4.873336707239927,0.10282744217101893,7957.0,7962.0,,1398.4245215167057,1398.4314659799381
3,29928567,0.003770589828491211,123314.0,123317.0,0.9931488026037556,0.09038513307002898,8159.0,8162.0,,1398.7300777704004,1398.734244444894
3,29928567,0.005074977874755859,123550.0,123553.0,1.1890565420136632,0.08580325230728703,8392.0,8395.0,,1399.0578560341198,1399.0620227048887
3,29928567,0.010155797004699707,123907.0,123910.0,2.0149469413086507,0.07970221676252512,8749.0,8752.0,,1399.553689618509,1399.557856285086
3,29928567,0.005267858505249024,124281.0,124284.0,1.5052396226018026,0.09060894090455997,9120.0,9123.0,,1400.0731337429138,1400.077300404835
3,29928567,0.0037478208541870117,124350.0,124356.0,2.1383828636469806,0.1281108011823562,9187.0,9193.0,,1400.1689669549805,1400.1773002769598
3,29928567,0.029885172843933105,124385.0,124399.0,20.4431227470033,0.17430739541565807,9222.0,9236.0,,1400.217577997372,1400.237022412839
3,29928567,0.003925204277038574,124665.0,124669.0,1.5140356229423997,0.1067915632514752,9501.0,9505.0,,1400.6064661637447,1400.6120217067632
3,29928567,0.009597539901733398,124934.0,124938.0,2.8746757642335052,0.09978060863777367,9745.0,9749.0,,1400.980076298573,1400.9856318374011
3,29928567,0.007012367248535156,125080.0,125083.0,1.3695671230447033,0.08010291419061333,9891.0,9894.0,,1401.1828534338877,1401.187020086495
3,29928567,0.0116807222366333,125386.0,125391.0,3.324824040951162,0.10048593019455493,10196.0,10201.0,,1401.6078518359327,1401.6147962516668
3,29928567,0.013366460800170898,125556.0,125560.0,3.2908908027986334,0.09449688012675042,10365.0,10369.0,,1401.8439619155038,1401.8495174454838
3,29928567,0.007866263389587402,126026.0,126029.0,1.677064626404995,0.08231839565570434,10828.0,10831.0,,1402.496736317048,1402.5009029594107
3,29928567,0.003025531768798828,126443.0,126446.0,0.981853579939692,0.09260422602230138,11229.0,11232.0,,1403.0758993610184,1403.0800659996576
3,29928567,0.016904711723327637,127565.0,127570.0,4.396907933940397,0.09645212920105532,12333.0,12338.0,,1404.6342201495481,1404.6411645294272
3,29928567,0.0038417577743530273,127616.0,127634.0,4.9898774126456376,0.3759261334236143,12383.0,12388.0,,1404.705052819192,1404.730052583498
3,29928567,0.03507387638092041,127794.0,127801.0,8.391355551876542,0.0972796021655543,12547.0,12554.0,,1404.9522726641912,1404.961994790899
3,29928567,0.01925802230834961,127967.0,127970.0,3.2704018328641737,0.07305367823926959,12719.0,12722.0,,1405.1925480408356,1405.1967146650381
3,29928567,0.008533358573913574,128175.0,128178.0,1.8994558437849969,0.08408842939345329,12927.0,12930.0,,1405.481433927157,1405.4856005494967
3,38314290,,,,,,,,,,
3,70555405,,,,,,,,,,
3,77111651,,,,,,,,,,
3,140478472,0.06474900245666504,119271.0,119275.0,17.802561957034925,0.9763233960801824,5047.0,5051.0,,1393.114098642636,1393.119654154456
3,142052876,0.015094041824340819,118491.0,118494.0,4.241765660805683,0.3734019416527981,4305.0,4308.0,,1392.0259817995059,1392.0301483946619
3,142052876,0.014454960823059082,119838.0,119841.0,4.203323391294457,0.3868324490413517,5609.0,5612.0,,1393.8967820648795,1393.9009486550005
3,142052876,0.020707368850708008,120344.0,120348.0,7.7484880749184875,0.5359698818210646,6112.0,6116.0,,1394.5995466476943,1394.6051020963293
3,142052876,2.2134244441986084,120942.0,120949.0,1853.5943631727087,0.0,6675.0,6682.0,,1395.430085674136,1395.4398076965936
3,167894019,0.11742508411407472,118408.0,118413.0,29.6084324419885,0.8910296450800017,4223.0,4228.0,,1391.9103233533222,1391.9172678595694
3,180724005,0.19845294952392573,116506.0,116510.0,55.21682983084274,2.5917990300905283,2360.0,2364.0,,1389.273726862175,1389.2792823474515
3,180724005,0.06735312938690187,119468.0,119471.0,22.26764474995491,2.4486465694741915,5243.0,5246.0,,1393.387553634761,1393.391720229626
3,180724005,0.09526002407073976,120254.0,120257.0,25.73435832590035,2.880440542498305,6023.0,6026.0,,1394.4792011150635,1394.4833677076003
3,180724005,0.0891268253326416,120371.0,120374.0,26.681396924460092,3.2378008126604634,6138.0,6141.0,,1394.6416982221426,1394.645864814679
3,180724005,0.09984934329986572,120380.0,120383.0,29.42030465987402,3.260717718179667,6147.0,6150.0,,1394.6541979992871,1394.658364591823
3,180724005,0.11937499046325685,120396.0,120423.0,280.58279424485784,10.461922544836332,6162.0,6187.0,,1394.6764198258402,1394.7139191582073
3,180724005,0.3963613510131836,120429.0,120949.0,14898.372473673033,57.130379398110044,6191.0,6682.0,,1394.7222523432818,1395.4444618021923
3,220429097,,,,,,,,,,
3,248350761,,,,,,,,,,
3,308243298,,,,,,,,,,
3,344297533,,,,,,,,,,
3,369555560,,,,,,,,,,
4,29780677,0.08742189407348633,133574.0,133584.0,68.68183459971895,2.8915852909712547,1471.0,1481.0,,1412.9753756321231,1412.9892643278529
4,35858101,,,,,,,,,,
4,44892011,0.164811372756958,132298.0,132304.0,115.22341415398488,2.5621779692638134,203.0,209.0,,1411.2061460473478,1411.2144796708415
4,44892011,0.16516244411468506,132319.0,132322.0,54.5962111332856,1.8057674826188301,224.0,227.0,,1411.2353137289974,1411.2394805406284
4,44892011,0.16651582717895508,132350.0,132356.0,111.06504336875177,2.5567529839223067,255.0,261.0,,1411.2783707799563,1411.2867044022873
4,44892011,0.17138206958770752,132383.0,132407.0,453.29848862954736,5.110752438260307,288.0,312.0,,1411.3242057011448,1411.3575401865094
4,44892011,0.16980648040771484,132413.0,132452.0,671.9077218771721,6.267716062725662,318.0,357.0,,1411.3658738074425,1411.4200423404845
4,44892011,0.09580409526824953,136814.0,136821.0,62.12261311505559,2.733471353828347,4645.0,4652.0,,1417.4785479460395,1417.4882703931241
4,121024099,,,,,,,,,,
4,141306513,0.2043066024780273,134304.0,134309.0,66.45095562974778,2.4459343860301948,2175.0,2180.0,,1413.9939587220351,1414.0009032825906
4,142052876,0.03316044807434082,133576.0,133587.0,22.68073146776496,0.6548021681343821,1473.0,1484.0,,1412.9770273690576,1412.9923049449555
4,142052876,0.031321048736572266,133672.0,133676.0,8.807428861552808,0.3938245027125253,1569.0,1573.0,,1413.1103589441711,1413.115914426653
4,142052876,0.017368435859680176,136013.0,136017.0,6.059628107851509,0.4058682430820468,3879.0,3883.0,,1416.3617064215814,1416.3672619077315
4,142052876,0.012548446655273438,136140.0,136146.0,7.803943493761222,0.514449199738512,4006.0,4012.0,,1416.5380931073637,1416.5464263366748
4,142052876,0.01340782642364502,136270.0,136280.0,12.150927607359028,0.6621625351368858,4136.0,4146.0,,1416.718646409721,1416.732535125359
4,142052876,0.022358536720275882,136649.0,136652.0,5.080212291182476,0.3407200446715926,4483.0,4486.0,,1417.2450287375243,1417.2491953522974
