campaign,tic,cstart,energy,st,real
       2,   340703996,       91276,       0.0000000,       0,      -1
       2,   340703996,       94166,       0.0000000,       0,       1
       2,   340703996,       94323,       0.0000000,       0,      -1
       2,   340703996,       97099,       0.0000000,       0,       1
       2,   340703996,      100436,       0.0000000,       0,       1
       2,   340703996,      102579,       0.0000000,       0,      -1
       2,   340703996,      105530,       0.0000000,       0,       1
       3,    29780677,      115055,   3.1662639e+31,       6,       1
       3,    29780677,      128000,   8.6776396e+31,       6,       1
       3,    29928567,      114173,       0.0000000,       0,      -1
       3,    29928567,      114314,       0.0000000,       0,      -1
       3,    29928567,      114366,       0.0000000,       0,      -1
       3,    29928567,      114491,       0.0000000,       0,      -1
       3,    29928567,      114505,       0.0000000,       0,      -1
       3,    29928567,      114659,       0.0000000,       0,      -1
       3,    29928567,      114691,       0.0000000,       0,      -1
       3,    29928567,      114831,       0.0000000,       0,      -1
       3,    29928567,      114855,       0.0000000,       0,      -1
       3,    29928567,      114988,       0.0000000,       0,      -1
       3,    29928567,      115002,       0.0000000,       0,      -1
       3,    29928567,      115015,       0.0000000,       0,      -1
       3,    29928567,      115162,       0.0000000,       0,      -1
       3,    29928567,      115181,       0.0000000,       0,       1
       3,    29928567,      115330,       0.0000000,       0,      -1
       3,    29928567,      115472,       0.0000000,       0,      -1
       3,    29928567,      115482,       0.0000000,       0,      -1
       3,    29928567,      115622,       0.0000000,       0,      -1
       3,    29928567,      115661,       0.0000000,       0,      -1
       3,    29928567,      115774,       0.0000000,       0,       1
       3,    29928567,      115797,       0.0000000,       0,      -1
       3,    29928567,      115917,       0.0000000,       0,      -1
       3,    29928567,      115927,       0.0000000,       0,      -1
       3,    29928567,      116101,       0.0000000,       0,      -1
       3,    29928567,      116109,       0.0000000,       0,      -1
       3,    29928567,      116119,       0.0000000,       0,       1
       3,    29928567,      116247,       0.0000000,       0,      -1
       3,    29928567,      116277,       0.0000000,       0,      -1
       3,    29928567,      116432,       0.0000000,       0,      -1
       3,    29928567,      116605,       0.0000000,       0,      -1
       3,    29928567,      116768,       0.0000000,       0,       0
       3,    29928567,      116938,       0.0000000,       0,      -1
