,ampl_rec,cstart,cstop,ed_rec,ed_rec_err,istart,istop,total_n_valid_data_points,tstart,tstop,dur,ed_ratio,ed_ratio_count,amplitude_ratio,amplitude_ratio_count,duration_ratio,duration_ratio_count,amplitude_corr,duration_corr,ed_corr,recovery_probability,recovery_probability_count,ed_ratio_std,amplitude_ratio_std,duration_ratio_std,recovery_probability_std,ed_corr_err,amplitude_corr_err,duration_corr_err,TIC,sector,energy,st,real,complex
73,0.0589679479599,291602,291638,152.610372727929,2.43192570510639,5018,5054,18704,1632.46043924034,1632.51043925097,0.050000010634449,0.486955612174229,50,0.931254277859296,50,0.951743518551665,50,0.063320995523856,0.05253517324766,313.39688651812,0.754098360655738,61,0.103580059709974,0.046644173624595,0.316546351690837,0.434194184857345,32.5526368541934,0.003171588662214,0.017473003075765,395130640,12,,,,0
316,0.244500160217285,75376,75394,190.164187356782,3.73700502083446,4615,4633,17805,1332.14825988357,1332.17325984034,0.024999956764077,0.691685051444405,108,0.906742397200242,108,1.62183261696655,108,0.269646771753732,0.015414634347925,274.928866772057,0.920634920634921,63,0.061557914012439,0.087764618817055,0.425115797490872,0.272478901319178,17.3317221207758,0.026099415017195,0.004040493763225,389051009,1,2.1030792E+032,6,1,1
317,0.161424160003662,81201,81228,277.817845502107,5.11426008415807,9486,9513,17805,1340.2384667447,1340.27596617507,0.037499430366552,0.544157152428368,51,0.941682254630229,51,1.005519585998,51,0.171421049095853,0.03729358521578,510.54708049377,1,37,0.095294543315034,0.055412407769387,0.497877399265942,0,48.9204139599852,0.010087110621497,0.018465710141396,389051009,1,3.5631691E+032,6,1,0
116,0.000215530395508,184105,184108,0.064528885615332,0.006409575450484,9201,9204,13998,1483.16146713426,1483.16563370491,0.00416657065216,,,,,,,,,,,,,,,,,,,388903843,6,5.3980767E+028,6,-1,0
117,0.000293731689453,184114,184118,0.100634163219311,0.00702141788592,9210,9214,13998,1483.17396684575,1483.17952227329,0.00555542753591,0.323667316694736,39,0.898583320136141,39,0.453104789523222,39,0.000326883086822,0.012260800733878,0.3109185204332,0.4,15,0.199394462023368,0.192360738273766,0.67230932168066,0.50709255283711,0.062391776607566,6.99762286938701E-05,0.01819237142324,388903843,6,7.4263347E+028,6,-1,0
119,0.000323057174683,188650,188656,0.15406037337239,0.010210679636107,13732,13738,13998,1489.47377850061,1489.48211152503,0.008333024424019,0.323667316694736,39,0.898583320136141,39,0.453104789523222,39,0.000359518330068,0.018390943147582,0.475983719782529,0.777777777777778,18,0.199394462023368,0.192360738273766,0.67230932168066,0.427792631946499,0.095456192663651,7.69624917858717E-05,0.027288174388156,388903843,6,1.1351946E+029,6,1,0
118,0.000323176383972,187351,187358,0.191596418855555,0.008766390326191,12433,12440,13998,1487.6696747862,1487.67939668939,0.009721903193849,0.323667316694736,39,0.898583320136141,39,0.453104789523222,39,0.000359650993659,0.02145619163302,0.591954791148275,0.777777777777778,18,0.199394462023368,0.192360738273766,0.67230932168066,0.427792631946499,0.118357603630401,7.69908912293352E-05,0.03183633891362,388903843,6,,,,0
115,0.000240564346313,183289,183292,0.072925982164488,0.008702987559183,8385,8388,13998,1482.02815850867,1482.03232509003,0.004166581362824,0.323667316694736,39,0.898583320136141,39,0.453104789523222,39,0.00026771512549,0.009195624189293,0.225311541830056,0.4,15,0.199394462023368,0.192360738273766,0.67230932168066,0.50709255283711,0.045761076446532,5.73100769091842E-05,0.013644313642412,388903843,6,,,,0
279,0.003190279006958,290308,290311,0.993026501655777,0.110428877974796,3764,3767,18704,1630.66501058182,1630.66917722343,0.004166641611846,0.51910120401793,29,0.863300881150815,29,0.962407681672045,29,0.003695442778542,0.004329393552436,1.91297283452549,0.739130434782609,23,0.128623886165997,0.127837993596026,0.422218585673938,0.44897775854488,0.269698179562371,0.000547222875098,0.001899351446738,388857263,12,1.8564598E+030,6,-1,0
160,0.003684163093567,273777,273782,1.82735958311026,0.146064749844725,5302,5307,13204,1607.70515366184,1607.71209825281,0.006944590968942,0.466617694492254,29,0.907436081294715,29,0.685678120165521,29,0.004059969808904,0.010128062664834,3.91618150078661,0.682926829268293,41,0.197465575352037,0.1350580944541,0.658583507075385,0.471116991321896,0.786984666477991,0.000604264914339,0.009727851645719,388857263,11,3.9578936E+030,6,-1,0
280,0.008309483528137,290414,290418,2.37557847405199,0.156530853036208,3870,3874,18704,1630.81223189812,1630.81778741918,0.005555521062433,0.51910120401793,29,0.863300881150815,29,0.962407681672045,29,0.009625246202761,0.00577252360744,4.57633011764298,0.739130434782609,23,0.128623886165997,0.127837993596026,0.422218585673938,0.44897775854488,0.609082693257295,0.001425310907581,0.002532468100284,388857263,12,4.5416039E+030,6,1,0
278,0.008466720581055,289533,289538,2.50877526534633,0.124260991926485,2990,2995,18704,1629.58862773395,1629.59557214284,0.006944408894469,0.51910120401793,29,0.863300881150815,29,0.962407681672045,29,0.009807380909618,0.007215662371277,4.83292129921486,0.739130434782609,23,0.128623886165997,0.127837993596026,0.422218585673938,0.44897775854488,0.633927090249578,0.001452281499176,0.003165588574489,388857263,12,5.3139993E+030,6,1,0
291,0.006916642189026,300545,300549,2.0328110932508,0.107666787365514,13098,13102,18704,1644.88284507887,1644.88840050913,0.005555430258028,0.51910120401793,29,0.863300881150815,29,0.962407681672045,29,0.008011855819961,0.00577242925615,3.91602076342051,0.739130434782609,23,0.128623886165997,0.127837993596026,0.422218585673938,0.44897775854488,0.515072412602019,0.001186399313805,0.00253242670736,388857263,12,5.3569538E+030,6,1,0
284,0.008434057235718,292678,292682,2.86185413267546,0.155046832344576,6093,6097,18704,1633.95665183265,1633.96220733555,0.005555502901643,0.51910120401793,29,0.863300881150815,29,0.962407681672045,29,0.00976954549667,0.005772504737277,5.51309476942884,0.739130434782609,23,0.128623886165997,0.127837993596026,0.422218585673938,0.44897775854488,0.7258681418804,0.001446678813735,0.002532459821741,388857263,12,5.5024894E+030,6,1,0
162,0.009171605110168,280603,280606,2.97792576443364,0.151355296004423,8529,8532,13204,1617.18583586868,1617.19000257735,0.004166708667981,0.466617694492254,29,0.907436081294715,29,0.685678120165521,29,0.010107163798339,0.00607677063835,6.3819392183017,0.682926829268293,41,0.197465575352037,0.1350580944541,0.658583507075385,0.471116991321896,1.2692698633965,0.001504298000793,0.005836646672831,388857263,11,6.1891895E+030,6,1,0
294,0.010022759437561,302219,302222,2.20248983619655,0.14180803100956,14764,14767,18704,1647.20779026799,1647.21195683184,0.004166563846866,0.51910120401793,29,0.863300881150815,29,0.962407681672045,29,0.01160981027171,0.004329312749901,4.24289101845442,0.739130434782609,23,0.128623886165997,0.127837993596026,0.422218585673938,0.44897775854488,0.563860385394645,0.001719186072401,0.001899315997798,388857263,12,6.2996955E+030,6,1,0
298,0.014406204223633,304518,304522,3.24818548116913,0.068989395988166,17056,17060,18704,1650.40076188445,1650.40631728398,0.005555399524383,0.51910120401793,29,0.863300881150815,29,0.962407681672045,29,0.016687350306453,0.005772397322028,6.25732603975416,0.929824561403509,57,0.128623886165997,0.127837993596026,0.422218585673938,0.257713096485706,0.80779299660224,0.002471070548158,0.002532412697517,388857263,12,6.5909733E+030,6,1,0
164,0.004906415939331,281414,281421,3.59406340418311,0.246854054257407,9340,9347,13204,1618.31223542469,1618.32195773358,0.009722308891924,0.466617694492254,29,0.907436081294715,29,0.685678120165521,29,0.005406899770098,0.014179114960788,7.70237272740796,0.682926829268293,41,0.197465575352037,0.1350580944541,0.658583507075385,0.471116991321896,1.54085572272733,0.00080473500548,0.013618826361043,388857263,11,6.8215468E+030,6,-1,0
285,0.015038967132568,294181,294185,3.44523083899392,0.125118895362732,7576,7580,18704,1636.04412943554,1636.04968492401,0.005555488465689,0.51910120401793,29,0.863300881150815,29,0.962407681672045,29,0.017420307868238,0.005772489737443,6.63691552307577,0.929824561403509,57,0.128623886165997,0.127837993596026,0.422218585673938,0.257713096485706,0.862786271334064,0.002579607242763,0.002532453241153,388857263,12,7.0323884E+030,6,1,0
157,0.0140860080719,269758,269761,3.94182471425188,0.30248790356267,1316,1319,13204,1602.12307254384,1602.12723932422,0.004166780379819,0.466617694492254,29,0.907436081294715,29,0.685678120165521,29,0.015522865314989,0.00607687522363,8.44765374476668,0.682926829268293,41,0.197465575352037,0.1350580944541,0.658583507075385,0.471116991321896,1.69532473551002,0.002310343012721,0.005836747125418,388857263,11,7.9410394E+030,6,1,0
300,0.011322617530823,305405,305412,4.08142766936407,0.115124245928304,17943,17950,18704,1651.63267069781,1651.64239262951,0.009721931704917,0.51910120401793,29,0.863300881150815,29,0.962407681672045,29,0.013115494004511,0.010101677168688,7.86248931378532,0.739130434782609,23,0.128623886165997,0.127837993596026,0.422218585673938,0.44897775854488,1.01783556225954,0.001942148415651,0.00443171426031,388857263,12,8.7595956E+030,6,1,0
290,0.009279489517212,299552,299560,4.56519303312108,0.13803467257671,12105,12113,18704,1643.5037087927,1643.51481966439,0.011110871691926,0.51910120401793,29,0.863300881150815,29,0.962407681672045,29,0.010748847498965,0.011544870124709,8.79441811690229,0.739130434782609,23,0.128623886165997,0.127837993596026,0.422218585673938,0.44897775854488,1.139563159959,0.001591694306979,0.005064858509208,388857263,12,9.6240604E+030,6,1,0
289,0.011516213417053,298736,298745,5.41322820212263,0.123995676449715,11305,11314,18704,1642.3703994973,1642.38289923541,0.012499738103998,0.51910120401793,29,0.863300881150815,29,0.962407681672045,29,0.013339744773226,0.012987986631903,10.4280786872065,0.739130434782609,23,0.128623886165997,0.127837993596026,0.422218585673938,0.44897775854488,1.34701916610562,0.001975355573157,0.005697969219185,388857263,12,1.0862693E+031,6,1,0
166,0.014548778533936,284360,284364,5.26816412018215,0.099555853531472,12279,12283,13204,1622.40392864788,1622.40948422389,0.005555576010465,0.466617694492254,29,0.907436081294715,29,0.685678120165521,29,0.016032841137612,0.008102309009254,11.2901079028189,0.682926829268293,41,0.197465575352037,0.1350580944541,0.658583507075385,0.471116991321896,2.23162941601202,0.002386245177337,0.007782145770431,388857263,11,1.1095186E+031,6,1,0
292,0.012938976287842,301010,301017,5.89794829685971,0.174047670168929,13563,13570,18704,1645.52866366851,1645.53838566587,0.009721997364522,0.51910120401793,29,0.863300881150815,29,0.962407681672045,29,0.014987794603654,0.010101745393004,11.3618466904114,0.739130434782609,23,0.128623886165997,0.127837993596026,0.422218585673938,0.44897775854488,1.47173258480184,0.002219399553961,0.00443174419105,388857263,12,1.2051322E+031,6,1,0
297,0.01316511631012,302968,302978,6.41359064461829,0.173117890384782,15513,15523,18704,1648.24804187671,1648.26193040882,0.013888532105739,0.51910120401793,29,0.863300881150815,29,0.962407681672045,29,0.015249742699869,0.014431027900369,12.3551835267883,0.739130434782609,23,0.128623886165997,0.127837993596026,0.422218585673938,0.44897775854488,1.59857328829817,0.002258188949151,0.006331046921123,388857263,12,1.4322781E+031,6,1,0
