TIC,RA,DEC,pmRA,pmDEC,TESSmag,Name,Extended,Handling,Obj. Type,spt
381983159,283.9462083,-69.2375,502,-694,12.722,J1855-6914,N,N,M6.0,M6
201688405,300.5543333,-54.43222222,74,-368,13.877,J2002-5425,N,N,M6e,M6
387220832,304.9575417,-58.27861389,-10,-415,12.9925,J2019-5816,N,N,M6.5,M6
389051009,333.460375,-63.70278056,132,203,13.179,J2213-6342,N,N,M6.0,M6
270218775,351.8602083,-17.6925,30,-551,14.153,J2327-1741,N,N,M7V,M7
401984769,352.5671667,-47.61275833,-564.8,-974.2,13.63,J2330-4736,N,N,M7.0,M7
304392811,352.8405833,-27.83055556,77.2,759.8,14.1195,J2331-2749,N,N,M7.5,M7
34014829,357.9601667,-25.62668611,366,205,15.3795,J2351-2537,N,N,L0.5,L0
77041175,358.5045833,-33.27308056,-329,-348,12.0955,J2354-3316,N,N,M8.5,M8
280801342,359.6785833,-62.76167778,573,84,13.643,J2358-6245,N,N,M6Ve,M6
